id_cliente,nome,email,pais,estado,cidade
582220257545975024,Oliver Silva,oliversilva@yahoo.com.br,Brasil,Pará,Araújo de Câmara
1145107730149870200,Giovanna Montenegro,giovannamontenegro@gmail.com,Brasil,Roraima,Fernandes
107085884407302672,Felipe Castro,felipecastro@gmail.com,Brasil,Goiás,Novaes da Mata
632668697197936910,Dr. Lucas da Costa,drlucasdacosta@hotmail.com,Brasil,Rio de Janeiro,Vasconcelos
13531046918194935,Ana Beatriz Andrade,anabeatrizandrade@outlook.com,Brasil,Roraima,da Cruz
329135983161156595,Dr. João Vitor Costela,drjoãovitorcostela@gmail.com,Brasil,Alagoas,Pinto
756158504625133057,Srta. Ana Luiza Marques,srtaanaluizamarques@hotmail.com,Brasil,Rio de Janeiro,Novaes de Cavalcanti
313719977867381836,Gael Araújo,gaelaraújo@outlook.com,Brasil,Piauí,Brito
472043069125810237,Dra. Luna da Conceição,dralunadaconceição@hotmail.com,Brasil,Amazonas,Viana
398387176018853158,Antônio Cirino,antôniocirino@yahoo.com.br,Brasil,Minas Gerais,Aragão de Sá
727842621537966127,Alice Fonseca,alicefonseca@yahoo.com.br,Brasil,Paraíba,Cunha do Sul
170821065958303829,Diego Lima,diegolima@gmail.com,Brasil,Pernambuco,Sousa
972919027048977026,Sabrina Rios,sabrinarios@outlook.com,Brasil,Pará,Monteiro Alegre
865443540972598048,Heloisa Sá,heloisasá@hotmail.com,Brasil,Sergipe,Sá
1085337943835153415,Sophie Viana,sophieviana@hotmail.com,Brasil,Rio Grande do Sul,Cunha da Mata
721964342052040814,Hellena Carvalho,hellenacarvalho@hotmail.com,Brasil,Rio Grande do Sul,Ferreira do Campo
478101127310720628,Sr. Davi Lucca Vargas,srdaviluccavargas@hotmail.com,Brasil,Paraná,Souza
884372109441719667,Hellena Costela,hellenacostela@gmail.com,Brasil,Bahia,Lima
46881064274914552,Vinícius Viana,viníciusviana@gmail.com,Brasil,Acre,Porto
939686083482265832,Maria Clara Almeida,mariaclaraalmeida@gmail.com,Brasil,Rio Grande do Sul,Vargas
607095977397693610,Laís Camargo,laíscamargo@yahoo.com.br,Brasil,Pernambuco,Camargo da Serra
1117209845445714615,Luiz Felipe Novais,luizfelipenovais@yahoo.com.br,Brasil,Rio de Janeiro,da Costa
361511052014192942,Sophia Cavalcanti,sophiacavalcanti@outlook.com,Brasil,Paraíba,Ramos Verde
505871638447116833,Paulo Nascimento,paulonascimento@outlook.com,Brasil,Distrito Federal,Brito
21088727370611661,Ana Beatriz Fonseca,anabeatrizfonseca@hotmail.com,Brasil,Paraíba,Carvalho
973665627460845392,Eloah Cunha,eloahcunha@outlook.com,Brasil,Rio de Janeiro,Marques de Novais
925234499967588576,Sr. Marcelo Mendonça,srmarcelomendonça@hotmail.com,Brasil,Acre,Pacheco do Sul
1117730466077827321,Ana Lívia Rezende,analíviarezende@gmail.com,Brasil,Tocantins,Fogaça
708491537105640559,Rebeca Costa,rebecacosta@hotmail.com,Brasil,Piauí,Barbosa
450739911977483615,Heloísa Teixeira,heloísateixeira@outlook.com,Brasil,Piauí,Lima
1110808284643532389,Benjamin Pereira,benjaminpereira@yahoo.com.br,Brasil,Distrito Federal,Teixeira
906561440264084242,Caio Lima,caiolima@yahoo.com.br,Brasil,Goiás,Nunes
1495750868330473,Felipe Borges,felipeborges@outlook.com,Brasil,Paraná,da Costa do Amparo
1136667978208816204,Oliver Pires,oliverpires@yahoo.com.br,Brasil,Rio Grande do Sul,Sampaio
965535837439323314,Apollo das Neves,apollodasneves@yahoo.com.br,Brasil,Bahia,Novais de Goiás
996434218713583090,Brayan Andrade,brayanandrade@gmail.com,Brasil,Rondônia,Moraes de Cardoso
608688809476643805,Diogo Teixeira,diogoteixeira@yahoo.com.br,Brasil,Paraíba,Nogueira de Pires
477822045035348347,Maria Luísa Pinto,marialuísapinto@outlook.com,Brasil,Sergipe,Fogaça
100689250357004017,João Guilherme Azevedo,joãoguilhermeazevedo@gmail.com,Brasil,Piauí,Peixoto das Flores
885426505245921715,Sra. Ester da Cruz,sraesterdacruz@outlook.com,Brasil,Paraná,Ribeiro de Viana
559116492478858429,Sra. Luana da Cruz,sraluanadacruz@yahoo.com.br,Brasil,Piauí,da Paz
1027307447743553075,Maria Luísa Pires,marialuísapires@hotmail.com,Brasil,Bahia,Viana do Campo
881535886946832469,Henry Gabriel Cassiano,henrygabrielcassiano@gmail.com,Brasil,Tocantins,Pires de da Costa
858123243236406049,Luiz Miguel Montenegro,luizmiguelmontenegro@gmail.com,Brasil,Paraíba,Novais
372705555228280527,Cauã Peixoto,cauãpeixoto@hotmail.com,Brasil,Paraíba,Moraes de Minas
407859413713440634,Sabrina Cavalcanti,sabrinacavalcanti@outlook.com,Brasil,Rio Grande do Norte,Ramos
935359416435209899,Nathan Souza,nathansouza@outlook.com,Brasil,Rondônia,Montenegro das Flores
1070906328433169470,Hellena Abreu,hellenaabreu@hotmail.com,Brasil,Alagoas,Moura de Minas
